542718,5/1/2018,121 Cullen Wood Road ,Baldwin,GA,Auction.com
,,Milledgeville GA 31061,,,
,,,,,
590115,5/1/2018,160 Pili Circle ,Baldwin,GA,
,,Milledgeville GA 31061,,,
,,,,,
5325414,5/1/2018,493 Kennedy Sells Road ,Barrow,GA,Auction.com
,,Auburn GA 30011,,,
,,,,,
570018,5/1/2018,558 Scrooch Court ,Barrow,GA,Auction.com
,,Winder GA 30680,,,
,,,,,
579518,5/1/2018,272 Partridge Trail ,Barrow,GA,Auction.com
,,Winder GA 30680,,,
,,,,,
523915,5/1/2018,37 Cathedral Heights ,Bartow,GA,Auction.com
,,Cartersville GA 30120,,,
,,,,,
573518,5/1/2018,808 S Lee St ,Ben Hill,GA,Auction.com
,,Fitzgerald GA 31750,,,
,,,,,
586518,5/1/2018,1008 Pecan Street ,Berrien,GA,
,,Nashville GA 31639,,,
,,,,,
527818,5/1/2018,222 Natchez Trce ,Bibb,GA,Auction.com
,,Macon GA 31216,,,
,,,,,
52918,5/1/2018,2377 Donald Ave ,Bibb,GA,Auction.com
,,Macon GA 31201,,,
,,,,,
521018,5/1/2018,2832 Dalton St ,Bibb,GA,Auction.com
,,Macon GA 31206,,,
,,,,,
5508196,5/1/2018,5329 Valley Forge Road ,Bibb,GA,
,,Macon GA 31210,,,
,,,,,
552918,5/1/2018,1415 Alberta Pl ,Bibb,GA,
,,Macon GA 31206,,,
,,,,,
554518,5/1/2018,6532 Chriswood Drive ,Bibb,GA,Auction.com
,,Macon GA 31216,,,
,,,,,
542218,5/1/2018,213 Bay Arbor Lane ,Bibb,GA,Auction.com
,,Macon GA 31216,,,
,,,,,
5449413,5/1/2018,532 Rogers Drive ,Bibb,GA,Auction.com
,,Macon GA 31204,,,
,,,,,
563018,5/1/2018,679 Wimbish Rd ,Bibb,GA,
,,Macon GA 31210,,,
,,,,,
5399817,5/1/2018,6771 Houston Rd ,Bibb,GA,Auction.com
,,Macon GA 31216,,,
,,,,,
53392710,5/1/2018,324 Fairview Avenue ,Bibb,GA,
,,Macon GA 31201,,,
,,,,,
5407817,5/1/2018,2873 South Estates Road ,Bibb,GA,
,,Macon GA 31216,,,
,,,,,
5375217,5/1/2018,2130 A&B New Clinton Rd ,Bibb,GA,Auction.com
,,Macon GA 31217,,,
,,,,,
585718,5/1/2018,940 Laurel Oak Court ,Bibb,GA,
,,Macon GA 31204,,,
,,,,,
589018,5/1/2018,124 Comer Terrace ,Bibb,GA,Auction.com
,,Payne City GA 31204,,,
,,,,,
5112817,5/1/2018,114B Lucas Rd ,Bleckley,GA,"$47,492.31 "
,,Cochran GA 31014,,,
,,,,,
598018,5/1/2018,211 Lancaster Way ,Bryan,GA,
,,Richmond Hill GA 31324,,,
