1031-1029A	178 Colonial Drive		Baxley	GA	31513	Appling	View This Bid on Auction.com	4/3/2018
1000-8360A	1800 Lakeview Drive		Baldwin	GA	30511	Banks	View This Bid on Auction.com	4/3/2018
1000-8176A	1537 Willow Gate Trace		Auburn	GA	30011	Barrow		4/3/2018
1292-566A	527 Saddle Ridge Drive		Bethlehem	GA	30620	Barrow	View This Bid on Auction.com	4/3/2018
1017-1814A	2142 Kirkland Drive		Statham	GA	30666	Barrow		4/3/2018
1017-1719A	550 Kara Ct		Winder	GA	30680	Barrow		4/3/2018
1031-1022A	383A Clear Creek Rd NW		Adairsville	GA	30103	Bartow	View This Bid on Auction.com	4/3/2018
1031-1059A	226 Amberwood Trail		Euharlee	GA	30145	Bartow	View This Bid on Auction.com	4/3/2018
1000-8273A	1032 Avenue Of Pines		Macon	GA	31204	Bibb	View This Bid on Auction.com	4/3/2018
1317-3475A	705 Dottie Court West		Macon	GA	31216	Bibb		4/3/2018
1031-1056A	511 Dr. Blitch Drive		Ellabell	GA	31308	Bryan	View This Bid on Auction.com	4/3/2018
1031-1065A	180 Summer Hill Way		Richmond Hill	GA	31324	Bryan		4/3/2018
1017-661120A	361 Live Oak Lane		Brooklet	GA	30415	Bulloch		4/3/2018
1031-1030A	109 Sugarland Boulevard		Brooklet	GA	30415	Bulloch		4/3/2018
1207-1087A	321 Horace Mitchell Road		Brooklet	GA	30415	Bulloch		4/3/2018
1207-1080A	304 Brina Rd		Statesboro	GA	30458	Bulloch		4/3/2018
1012-5281A	3129 High Falls Road		Jackson	GA	30233	Butts		4/3/2018
1017-1808A	102 Bridgewood Court		Jackson	GA	30233	Butts		4/3/2018
1317-3483A	172 Evergreen Drive		Jackson	GA	30233	Butts		4/3/2018
1017-1135A	205 Holm Place		Saint Marys	GA	31558	Camden	View This Bid on Auction.com	4/3/2018
1017-1809A	181 Roy Morgan Rd		Carrollton	GA	30116	Carroll		4/3/2018
1317-3413A	118 Westview Way		Carrollton	GA	30117	Carroll	View This Bid on Auction.com	4/3/2018
1016-3588A	188 South Highway 27		Roopville	GA	30170	Carroll	View This Bid on Auction.com	4/3/2018
1303-200A	602 Savannah Dr		Villa Rica	GA	30180	Carroll	View This Bid on Auction.com	4/3/2018
1012-5304A	98 Hansen Trail		Whitesburg	GA	30185	Carroll		4/3/2018
1031-992A	3937 Hutcheson Ferry Road		Whitesburg	GA	30185	Carroll	View This Bid on Auction.com	4/3/2018
1292-464A	131 Elizabeth Ann Dr		Johnson City	TN	37601	Carter	View This Bid on Auction.com	3/15/2018
1207-1104A	97 Smith Avenue		Garden City	GA	31408	Chatham	View This Bid on Auction.com	4/3/2018
1031-1100A	183 Fox Glen Court		Port Wentworth	GA	31407	Chatham		4/3/2018
1006-2486A	36 Berkshire Court		Savannah	GA	31404	Chatham	View This Bid on Auction.com	4/3/2018
1017-1052A	1932 New Mexico Street		Savannah	GA	31404	Chatham		4/3/2018
1017-1086A	625 West 37th Street		Savannah	GA	31401	Chatham		4/3/2018
1017-1713A	1718 & 1720 East 39Th St		Savannah	GA	31404	Chatham		4/3/2018
1017-1735A	2123 Harden St		Savannah	GA	31405	Chatham		4/3/2018
1017-1755A	2115 Gable Street		Savannah	GA	31404	Chatham		4/3/2018
1031-1082A	25 Leeward Drive		Savannah	GA	31419	Chatham		4/3/2018
1031-1116A	4 Hillyer Drive		Savannah	GA	31406	Chatham		4/3/2018
1031-925A	2131 Alabama Avenue		Savannah	GA	31404	Chatham		4/3/2018
1168-5299A	903 E 33rd St		Savannah	GA	31401	Chatham	View This Bid on Auction.com	4/3/2018
1168-5417A	3216 Martha Street		Savannah	GA	31404	Chatham	View This Bid on Auction.com	4/3/2018
1207-1098A	111 Mapmaker Lane		Savannah	GA	31410	Chatham		4/3/2018
1208-2010A	507 W 60th St		Savannah	GA	31405	Chatham		4/3/2018
2191-564A	280 Bell Street		Ashland City	TN	37015	Cheatham		3/22/2018
1017-1592A	1220 Dewberry Lane		Canton	GA	30114	Cherokee		4/3/2018
1017-1696A	245 Hickory Trail		Canton	GA	30115	Cherokee		4/3/2018
1148-14937A	1454 Morgan Road		Canton	GA	30115	Cherokee		4/3/2018
1031-1019A	506 Penny Ln		Woodstock	GA	30188	Cherokee	View This Bid on Auction.com	4/3/2018
1317-3435A	317 Lauren Ln		Woodstock	GA	30188	Cherokee	View This Bid on Auction.com	4/3/2018
1031-1087A	5527 Platte Drive		Ellenwood	GA	30294	Clayton	View This Bid on Auction.com	4/3/2018
1031-984A	10943 Morning Dove Drive		Hampton	GA	30228	Clayton	View This Bid on Auction.com	4/3/2018
1010-922A	144 Ethan Moor		Jonesboro	GA	30238	Clayton	View This Bid on Auction.com	4/3/2018
1017-1660A	9468 Whaleys Lake Trace		Jonesboro	GA	30238	Clayton		4/3/2018
1031-912A	736 South Carter Drive		Jonesboro	GA	30236	Clayton	View This Bid on Auction.com	4/3/2018
1120-21740A	1551 Red Briar Way		Jonesboro	GA	30236	Clayton	View This Bid on Auction.com	4/3/2018
1120-21750A	554 Rosewood Circle		Jonesboro	GA	30238	Clayton	View This Bid on Auction.com	4/3/2018
1154-1439A	3019 Saint Andrews Ct		Jonesboro	GA	30236	Clayton		4/3/2018
1208-1539A	700 Georgetown Court		Jonesboro	GA	30236	Clayton		4/3/2018
1216-2482A	8952 Gatewood Circle		Jonesboro	GA	30236	Clayton		4/3/2018
1434-1721A	8914 Gardener Drive		Jonesboro	GA	30238	Clayton	View This Bid on Auction.com	4/3/2018
1017-1635A	3207 Rex Ridge Drive		Rex	GA	30273	Clayton		4/3/2018
1017-1797A	3449 Rock Creek Drive		Rex	GA	30273	Clayton		4/3/2018
1010-929A	184 Hickory Trail		Riverdale	GA	30274	Clayton	View This Bid on Auction.com	4/3/2018
