1006-667502979A	635 Alpine Dr		Baxley	GA	31513	Appling		3/6/2018
1208-2182A	150 N Jackson St		Milledgeville	GA	31061	Baldwin	View This Bid on Auction.com	3/6/2018
1031-986A	545 Providence Circle		Statham	GA	30666	Barrow		3/6/2018
1000-8280A	317 Hardigree Drive		Winder	GA	30680	Barrow		3/6/2018
1120-21716A	121 Hamway Ln		Winder	GA	30680	Barrow	View This Bid on Auction.com	3/6/2018
1120-21744A	304 Paden Court		Winder	GA	30680	Barrow		3/6/2018
1168-5353A	80 Grassdale Road NW		Cartersville	GA	30120	Bartow		3/6/2018
1031-834A	144 Agner Court		Fitzgerald	GA	31750	Ben hill	View This Bid on Auction.com	3/6/2018
1006-2515A	601 Middle School Circle		Nashville	GA	31639	Berrien		3/6/2018
1000-8165A	1964 Crooms Drive		Macon	GA	31217	Bibb		3/6/2018
1000-8206A	140 Brookefield Drive		Macon	GA	31210	Bibb		3/6/2018
1006-2524A	2700 Bob O Link Dr		Macon	GA	31206	Bibb		3/6/2018
1017-1612A	4362 Thrasher Circle		Macon	GA	31206	Bibb		3/6/2018
1017-1629A	135 Wynne Street		Macon	GA	31206	Bibb		3/6/2018
1031-932A	104 Charlotte Court		Macon	GA	31220	Bibb	View This Bid on Auction.com	3/6/2018
1168-5356A	308 Bradstone Court		Macon	GA	31217	Bibb		3/6/2018
1263-747A	1036 S Confederate Dr		Macon	GA	31220	Bibb		3/6/2018
1290-203A	977 Underwood Dr		Macon	GA	31210	Bibb	View This Bid on Auction.com	3/6/2018
1434-1706A	1546 Royalwyn Drive		Macon	GA	31220	Bibb		3/6/2018
1031-914A	173 Hudson Jones Rd		Cochran	GA	31014	Bleckley		3/6/2018
1000-8107A	4595 Pembers Road		Nahunta	GA	31553	Brantley		3/6/2018
1000-8237A	203 Vicki Street		Quitman	GA	31643	Brooks		3/6/2018
1120-21711A	581 Laurenburg Drive		Richmond Hill	GA	31324	Bryan		3/6/2018
1017-1579A	18 Meadowbrook Way		Ellabell	GA	31308	Bulloch		3/6/2018
1017-1590A	320 Turner St		Statesboro	GA	30458	Bulloch		3/6/2018
1120-21745A	2070 Pinemount Boulevard		Statesboro	GA	30461	Bulloch	View This Bid on Auction.com	3/6/2018
1017-1561A	109 Cottonwood Trail		Jackson	GA	30233	Butts		3/6/2018
1000-667513093A	207 Cedar Street		Carrollton	GA	30117	Carroll		3/6/2018
1263-779A	206 Griffin Dr		Carrollton	GA	30117	Carroll		3/6/2018
1317-3448A	209 Jordan Lane		Carrollton	GA	30116	Carroll		3/6/2018
1017-1204A	2318 Rainey Rd		Temple	GA	30179	Carroll		3/6/2018
1031-966A	220 N Willow Ct		Temple	GA	30179	Carroll	View This Bid on Auction.com	3/6/2018
2191-702A	952 S Lassetter Circle		Villa Rica	GA	30180	Carroll		3/6/2018
1010-919A	14 Phillips Dr		Fort Oglethorpe	GA	30742	Catoosa	View This Bid on Auction.com	3/6/2018
1031-936A	502 Pinecrest Ct		Pooler	GA	31322	Chatham		3/6/2018
1000-8164A	17 Regent Drive		Savannah	GA	31406	Chatham		3/6/2018
1010-950A	8 Seneca		Savannah	GA	31406	Chatham		3/6/2018
1012-5009A	2002 North Fernwood Drive		Savannah	GA	31404	Chatham		3/6/2018
1012-5244A	5633 Lafitte Drive		Savannah	GA	31406	Chatham		3/6/2018
1017-1165A	2005 Tuskeegee Street		Savannah	GA	31405	Chatham		3/6/2018
1031-1006A	122 Holiday Drive		Savannah	GA	31419	Chatham		3/6/2018
1031-487A	105 Leila Drive		Savannah	GA	31410	Chatham		3/6/2018
1031-929A	7 Coffee Woods Drive		Savannah	GA	31419	Chatham	View This Bid on Auction.com	3/6/2018
1208-2226A	20 Buckhalter Road		Savannah	GA	31405	Chatham		3/6/2018
1207-1069A	397 Valley Springs Rd		Menlo	GA	30731	Chattooga		3/6/2018
1031-930A	825 Pine St		Trion	GA	30753	Chattooga		3/6/2018
1017-1659A	2122 Cleveland Rd		Bogart	GA	30622	Clarke		3/6/2018
1168-5398A	5438 Waterfall Court		Atlanta	GA	30349	Clayton		3/6/2018
1010-951A	5852 El Segundo Way		College Park	GA	30349	Clayton	View This Bid on Auction.com	3/6/2018
