1006-2363A	147 Sandy Beach Road NE		Milledgeville	GA	31061	Baldwin	View This Bid on Auction.com
1162-5468A	155 Buckeye Trails		Commerce	GA	30530	Banks	View This Bid on Auction.com
1017-520A	1513 Betts Mill Road		Auburn	GA	30011	Barrow	
1012-664132A	846 Lodgeview Dr		Bethlehem	GA	30620	Barrow	
1031-77507A	545 Providence Circle		Statham	GA	30666	Barrow	View This Bid on Auction.com
1000-6373A	342 Ashton Way		Winder	GA	30680	Barrow	View This Bid on Auction.com
1017-664029A	412 Shenandoah Court		Winder	GA	30680	Barrow	View This Bid on Auction.com
1168-5061A	861 Kendall Park Drive		Winder	GA	30680	Barrow	View This Bid on Auction.com
1006-667508442A	55 Grant Dr		Cartersville	GA	30121	Bartow	
1016-667501783A	11 Puritan Street		Cartersville	GA	30120	Bartow	View This Bid on Auction.com
1017-663252A	289 Old Cass White Rd NW		Cartersville	GA	30121	Bartow	View This Bid on Auction.com
1017-675A	30 Stonecreek Drive		Cartersville	GA	30120	Bartow	
1012-4930A	87 Bradley Trail		Kingston	GA	30145	Bartow	
1120-14720A	167 Reynolds Bridge Rd		Kingston	GA	30145	Bartow	View This Bid on Auction.com
1006-2357A	995 Fort Hill Street		Macon	GA	31217	Bibb	View This Bid on Auction.com
1006-2371A	4901 Oxford Rd		Macon	GA	31210	Bibb	View This Bid on Auction.com
1017-712A	1254 Clairmont Place		Macon	GA	31204	Bibb	
1031-360A	6019 Clayts Circle		Macon	GA	31216	Bibb	View This Bid on Auction.com
1031-405A	2461 Charlene Court		Macon	GA	31206	Bibb	
1207-932A	1064 Santa Fe Trail		Macon	GA	31220	Bibb	
1317-3199A	330 Thoroughbred Ln		Macon	GA	31216	Bibb	View This Bid on Auction.com
1208-1974A	934 Whisper Ridge Loop		Waynesville	GA	31566	Brantley	
1292-226A	629 Buster Walker Rd		Waynesville	GA	31566	Brantley	View This Bid on Auction.com
1000-667511571A	25 Oak Ridge Circle		Richmond Hill	GA	31324	Bryan	
1207-950A	50 Summer Hill Way		Richmond Hill	GA	31324	Bryan	
1017-391A	192 Diablo Lane		Pembroke	GA	31321	Bulloch	
1000-3053A	146 Greiner Cir Ext		Hephzibah	GA	30815	Burke	
1207-914A	826 Richmond St		Sardis	GA	30456	Burke	
1031-77248A	231 Deborah Drive		Waynesboro	GA	30830	Burke	View This Bid on Auction.com
1208-1657A	810 Lookout Drive		St. Marys	GA	31558	Camden	View This Bid on Auction.com
