1012-5029A	3027 Heritage Rd		Milledgeville	GA	31061	Baldwin	
1168-5226A	1225 Persimmon Place Dr		Bethlehem	GA	30620	Barrow	View This Bid on Auction.com
1031-599A	120 Bower CT		Winder	GA	30680	Barrow	View This Bid on Auction.com
1000-7767A	81 Old Highway 41 Northwest		Adairsville	GA	30103	Bartow	View This Bid on Auction.com
1031-613A	25 Southwest Taylor Drive		Cartersville	GA	30120	Bartow	
1317-3317A	76 Applewood Lane		Taylorsville	GA	30178	Bartow	
1216-2442A	144 Greatwood Drive		White	GA	30184	Bartow	
1017-1022A	2313 Greenwood Ct		Macon	GA	31206	Bibb	
1017-1193A	748 Ell St		Macon	GA	31206	Bibb	
1017-1207A	470 Crabapple Place		Macon	GA	31217	Bibb	
1017-1208A	741 North Avenue		Macon	GA	31211	Bibb	
1017-1209A	387 Cowan St		Macon	GA	31217	Bibb	
1017-713A	802 Willow Creek Dr Unit 802		Macon	GA	31204	Bibb	
1168-4969A	3258 Sandy Circle		Macon	GA	31216	Bibb	View This Bid on Auction.com
1168-5103A	1075 Brisbane Street		Macon	GA	31206	Bibb	View This Bid on Auction.com
1207-1002A	2350 Second Street		Macon	GA	31201	Bibb	
1208-2104A	3026 Clairmont Avenue		Macon	GA	31204	Bibb	
1317-3313A	3558 Morgan Dr		Macon	GA	31204	Bibb	
1017-1164A	402 Hope Creek Drive		Richmond Hill	GA	31324	Bryan	View This Bid on Auction.com
1087-1697A	2725 GA Highway 67		Pembroke	GA	31321	Bulloch	View This Bid on Auction.com
1120-21521A	2260 Colfax W Rd		Statesboro	GA	30458	Bulloch	View This Bid on Auction.com
1006-2468A	461 Giles Ferry Road		Flovilla	GA	30216	Butts	View This Bid on Auction.com
1909-001A	2410 Shinhoster Rd		Metter	GA	30439	Candler	
1017-997A	1983 Highway 100 South		Bowdon	GA	30108	Carroll	
1012-5015A	185 White Oak Court		Carrollton	GA	30117	Carroll	
1120-21525A	47 Old Bowdon Road		Carrollton	GA	30117	Carroll	
1317-3329A	92 Happy Hill Rd		Carrollton	GA	30116	Carroll	
1000-7766A	103 Yellow Pine Drive		Temple	GA	30179	Carroll	View This Bid on Auction.com
1010-884A	220 Piedmont Ct		Temple	GA	30179	Carroll	
1098-338A	55 Timberlake Trail		Temple	GA	30179	Carroll	
1208-533A	301 Madeline Way		Temple	GA	30179	Carroll	
1017-1110A	2154 Belcourt Drive		Villa Rica	GA	30180	Carroll	
1017-1126A	216 Raleigh Way		Villa Rica	GA	30180	Carroll	
1120-21548A	257 Indian Lake Trail		Villa Rica	GA	30180	Carroll	
1000-6613A	1006 Keys Rd		Tunnel Hill	GA	30755	Catoosa	View This Bid on Auction.com
1000-6943A	62 Marsh Avenue		Trion	GA	30753	Chattooga	View This Bid on Auction.com
1012-4891A	440 Center Street		Canton	GA	30114	Cherokee	
1016-3489A	710 Lake Overlook Dr		Canton	GA	30114	Cherokee	View This Bid on Auction.com
1120-21494A	364 Hidden Creek Lane		Canton	GA	30114	Cherokee	
1168-4152A	623 River Bend Way		Canton	GA	30114	Cherokee	View This Bid on Auction.com
1763-011A	807 Mill Run Trail		Canton	GA	30114	Cherokee	
1000-7779A	1162 Upper Sweetwater Trl SE		White	GA	30184	Cherokee	View This Bid on Auction.com
1031-582A	4083 Dream Catcher Drive		Woodstock	GA	30189	Cherokee	
1168-4904A	935 Pine Circle		Woodstock	GA	30189	Cherokee	View This Bid on Auction.com
1208-1992A	1215-1217 Tallassee Road		Athens	GA	30606	Clarke	
1208-2075A	131 Magnolia Bluff Drive		Athens	GA	30601	Clarke	
1317-3285A	245 Sartain Drive		Athens	GA	30605	Clarke	View This Bid on Auction.com
1292-255A	5908 El Segundo Way		Atlanta	GA	30349	Clayton	
1000-6929A	3004 Bunchberry Court		Ellenwood	GA	30294	Clayton	View This Bid on Auction.com
1168-5220A	3610 Rolling Meadows Drive		Ellenwood	GA	30294	Clayton	View This Bid on Auction.com
1000-6974A	11691 Spring Lake Way		Fayetteville	GA	30215	Clayton	View This Bid on Auction.com
1031-602A	103 Harbour Lake Dr		Fayetteville	GA	30215	Clayton	View This Bid on Auction.com
1017-1131A	5128 Phillips Dr		Forest Park	GA	30297	Clayton	
1148-10131A	4743 Price Street		Forest Park	GA	30297	Clayton	View This Bid on Auction.com
1017-1105A	551 Cypress Estates Cove		Jonesboro	GA	30238	Clayton	
1017-1127A	605 Sycamore Drive		Jonesboro	GA	30238	Clayton	View This Bid on Auction.com
1017-880A	10440 Sunny Way		Jonesboro	GA	30238	Clayton	View This Bid on Auction.com
1031-76115A	1378 Briar Ridge Ct		Jonesboro	GA	30238	Clayton	View This Bid on Auction.com
1148-13582A	2180 Hedgerow Way		Jonesboro	GA	30236	Clayton	View This Bid on Auction.com
1006-667508385A	6090 Graceland Circle		Morrow	GA	30260	Clayton	
1000-7759A	6207 Newberry Lane		Riverdale	GA	30296	Clayton	
1012-4904A	1522 Winchester Trail		Riverdale	GA	30274	Clayton	
1017-1108A	7344 Tracy Lane		Riverdale	GA	30274	Clayton	View This Bid on Auction.com
1031-635A	109 Oldenburg Road		Riverdale	GA	30274	Clayton	
1144-023A	451 Brookview Drive		Riverdale	GA	30274	Clayton	
